Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavarde1 6 5 5 6 2 5
Vardas2 Pavarde2 2 6 7 5 10 5
Vardas3 Pavarde3 2 3 5 5 7 5
Vardas4 Pavarde4 6 5 1 3 8 5
Vardas5 Pavarde5 4 2 8 4 6 2
Vardas6 Pavarde6 3 2 5 9 3 8
Vardas7 Pavarde7 1 5 3 1 1 9
Vardas8 Pavarde8 7 8 4 6 7 2
Vardas9 Pavarde9 5 4 5 2 10 10
Vardas10 Pavarde10 1 6 7 5 4 7
Vardas11 Pavarde11 2 4 2 5 8 6
Vardas12 Pavarde12 7 5 2 8 7 6
Vardas13 Pavarde13 2 9 3 7 4 5
Vardas14 Pavarde14 10 4 4 1 10 2
Vardas15 Pavarde15 6 8 5 6 2 2
Vardas16 Pavarde16 5 1 8 3 1 4
Vardas17 Pavarde17 2 7 4 9 1 5
Vardas18 Pavarde18 10 1 6 7 10 1
Vardas19 Pavarde19 6 9 4 3 7 9
Vardas20 Pavarde20 5 5 7 8 2 2
Vardas21 Pavarde21 7 10 5 3 2 7
Vardas22 Pavarde22 8 8 8 2 7 10
Vardas23 Pavarde23 1 5 1 2 3 8
Vardas24 Pavarde24 8 7 6 2 5 2
Vardas25 Pavarde25 9 7 8 8 8 10
Vardas26 Pavarde26 7 1 10 4 1 10
Vardas27 Pavarde27 1 2 6 10 7 2
Vardas28 Pavarde28 7 5 9 6 4 7
Vardas29 Pavarde29 7 5 5 1 3 5
Vardas30 Pavarde30 6 7 3 5 6 4
Vardas31 Pavarde31 2 1 3 9 6 1
Vardas32 Pavarde32 1 2 3 6 1 1
Vardas33 Pavarde33 6 10 9 10 4 2
Vardas34 Pavarde34 3 7 1 9 4 5
Vardas35 Pavarde35 3 4 8 5 6 10
Vardas36 Pavarde36 1 4 1 9 6 6
Vardas37 Pavarde37 8 3 3 6 4 3
Vardas38 Pavarde38 8 2 6 8 8 7
Vardas39 Pavarde39 9 9 8 3 7 9
Vardas40 Pavarde40 3 9 9 6 10 5
Vardas41 Pavarde41 10 8 10 6 3 3
Vardas42 Pavarde42 4 5 8 5 2 9
Vardas43 Pavarde43 8 9 8 7 10 1
Vardas44 Pavarde44 10 5 2 7 10 9
Vardas45 Pavarde45 9 4 9 8 8 3
Vardas46 Pavarde46 9 1 7 5 5 10
Vardas47 Pavarde47 4 9 10 6 7 5
Vardas48 Pavarde48 4 1 6 8 7 1
Vardas49 Pavarde49 6 4 1 6 4 8
Vardas50 Pavarde50 5 10 6 10 3 6
Vardas51 Pavarde51 4 3 9 5 6 6
Vardas52 Pavarde52 9 5 2 9 6 6
Vardas53 Pavarde53 4 3 8 7 4 9
Vardas54 Pavarde54 10 7 5 4 10 7
Vardas55 Pavarde55 2 2 1 5 10 4
Vardas56 Pavarde56 7 6 6 6 6 5
Vardas57 Pavarde57 10 9 8 8 10 9
Vardas58 Pavarde58 6 4 3 10 5 3
Vardas59 Pavarde59 4 3 3 10 8 6
Vardas60 Pavarde60 7 8 10 8 9 5
Vardas61 Pavarde61 3 5 7 5 10 1
Vardas62 Pavarde62 1 2 9 10 8 4
Vardas63 Pavarde63 3 8 2 9 7 6
Vardas64 Pavarde64 10 1 8 8 9 6
Vardas65 Pavarde65 5 7 6 6 9 2
Vardas66 Pavarde66 3 10 2 6 8 7
Vardas67 Pavarde67 2 1 6 9 4 4
Vardas68 Pavarde68 1 8 9 7 10 3
Vardas69 Pavarde69 10 5 10 6 8 2
Vardas70 Pavarde70 1 7 9 9 3 4
Vardas71 Pavarde71 4 2 4 2 6 4
Vardas72 Pavarde72 4 8 3 6 1 8
Vardas73 Pavarde73 1 4 7 1 8 5
Vardas74 Pavarde74 6 1 8 4 9 4
Vardas75 Pavarde75 7 3 6 10 1 8
Vardas76 Pavarde76 3 2 9 3 3 10
Vardas77 Pavarde77 7 6 3 9 8 1
Vardas78 Pavarde78 7 1 6 8 5 4
Vardas79 Pavarde79 3 8 1 8 10 5
Vardas80 Pavarde80 9 2 3 1 8 4
Vardas81 Pavarde81 2 10 5 1 5 2
Vardas82 Pavarde82 6 7 5 5 8 3
Vardas83 Pavarde83 3 1 9 1 8 7
Vardas84 Pavarde84 2 2 5 3 7 9
Vardas85 Pavarde85 6 4 6 9 5 8
Vardas86 Pavarde86 8 3 4 10 9 10
Vardas87 Pavarde87 8 10 3 9 10 8
Vardas88 Pavarde88 9 9 3 8 9 6
Vardas89 Pavarde89 6 6 6 10 8 2
Vardas90 Pavarde90 5 7 8 8 4 8
Vardas91 Pavarde91 2 9 10 8 8 5
Vardas92 Pavarde92 7 8 6 7 2 2
Vardas93 Pavarde93 2 6 4 10 8 9
Vardas94 Pavarde94 1 6 2 1 7 4
Vardas95 Pavarde95 4 1 10 4 2 5
Vardas96 Pavarde96 4 4 5 4 3 8
Vardas97 Pavarde97 3 9 2 9 2 7
Vardas98 Pavarde98 3 9 1 9 3 9
Vardas99 Pavarde99 10 3 10 5 2 1
Vardas100 Pavarde100 8 10 10 6 9 3
