Vardas     Pavarde      Galutinis (Vid.) 
----------------------------------------
Kardas     Gavarde                  5.64
Kardas     Gavarde                  6.92
Kardas     Gavarde                  7.08
Kardas     Gavarde                  7.52
Kardas     Gavarde                  6.16
Kardas     Gavarde                  5.32
Kardas     Gavarde                  8.64
Kardas     Gavarde                  5.76
Kardas     Gavarde                  7.76
Kardas     Gavarde                  6.76
Kardas     Gavarde                  5.60
Kardas     Gavarde                  5.56
Kardas     Gavarde                  6.72
Kardas     Gavarde                  5.08
Kardas     Gavarde                  6.44
Kardas     Gavarde                  8.64
Kardas     Gavarde                  6.88
Kardas     Gavarde                  5.28
Kardas     Gavarde                  8.48
Kardas     Gavarde                  5.60
Kardas     Gavarde                  7.16
Kardas     Gavarde                  5.28
Kardas     Gavarde                  6.20
Kardas     Gavarde                  8.24
Kardas     Gavarde                  8.44
Kardas     Gavarde                  6.76
Kardas     Gavarde                  6.32
Kardas     Gavarde                  8.72
Kardas     Gavarde                  6.96
Kardas     Gavarde                  8.48
Kardas     Gavarde                  7.96
Kardas     Gavarde                  6.00
Kardas     Gavarde                  5.40
Kardas     Gavarde                  7.08
Kardas     Gavarde                  5.56
Kardas     Gavarde                  5.16
Kardas     Gavarde                  8.28
Kardas     Gavarde                  5.48
Kardas     Gavarde                  6.96
Kardas     Gavarde                  8.36
Kardas     Gavarde                  5.60
Kardas     Gavarde                  6.48
Kardas     Gavarde                  6.68
Kardas     Gavarde                  5.72
Kardas     Gavarde                  7.48
Kardas     Gavarde                  5.72
Kardas     Gavarde                  7.28
Kardas     Gavarde                  7.08
Kardas     Gavarde                  5.36
Kardas     Gavarde                  6.24
Kardas     Gavarde                  8.04
Kardas     Gavarde                  7.92
Kardas     Gavarde                  5.08
Kardas     Gavarde                  8.24
Kardas     Gavarde                  5.64
Kardas     Gavarde                  6.56
Kardas     Gavarde                  8.00
Kardas     Gavarde                  5.88
Kardas     Gavarde                  7.68
Kardas     Gavarde                  7.80
Kardas     Gavarde                  6.56
Kardas     Gavarde                  5.32
Kardas     Gavarde                  7.64
Kardas     Gavarde                  6.00
Kardas     Gavarde                  5.28
